,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region
73,2017-09-08,SFTBY,"$1,001 - $15,000",2019-03-11,8000.5,0.2271212763795715,549.0,sen,Republican,Shelley M Capito,SE
74,2017-09-08,TSM,"$1,001 - $15,000",2019-03-11,8000.5,0.030399983723958333,549.0,sen,Republican,Shelley M Capito,SE
75,2017-09-08,V,"$1,001 - $15,000",2019-03-11,8000.5,0.4427846186789466,549.0,sen,Republican,Shelley M Capito,SE
76,2017-09-08,LRLCY,"$1,001 - $15,000",2019-03-11,8000.5,0.1935258881941868,549.0,sen,Republican,Shelley M Capito,SE
77,2018-01-26,INTC,"$1,001 - $15,000",2019-03-11,8000.5,0.06529545773775662,409.0,sen,Republican,Shelley M Capito,SE
78,2017-09-08,AHKSY,"$1,001 - $15,000",2019-03-11,8000.5,-0.06329113720306727,549.0,sen,Republican,Shelley M Capito,SE
79,2017-09-12,HLT,"$1,001 - $15,000",2019-03-11,8000.5,0.2532163377358724,545.0,sen,Republican,Shelley M Capito,SE
80,2017-09-08,AMT,"$1,001 - $15,000",2019-03-11,8000.5,0.27705356677732684,549.0,sen,Republican,Shelley M Capito,SE
81,2016-03-22,AAPL,"$1,001 - $15,000",2019-03-11,8000.5,0.676349248970761,1084.0,sen,Republican,Shelley M Capito,SE
82,2017-09-08,AZN,"$1,001 - $15,000",2019-03-11,8000.5,0.3082170116808988,549.0,sen,Republican,Shelley M Capito,SE
83,2017-09-08,ASML,"$1,001 - $15,000",2019-03-11,8000.5,0.13379661253356848,549.0,sen,Republican,Shelley M Capito,SE
84,2017-09-08,CABGY,"$1,001 - $15,000",2019-03-11,8000.5,0.05688622632364738,549.0,sen,Republican,Shelley M Capito,SE
85,2018-04-24,CVX,"$1,001 - $15,000",2019-03-11,8000.5,0.008813463546480502,321.0,sen,Republican,Shelley M Capito,SE
86,2017-09-08,CCI,"$1,001 - $15,000",2019-03-11,8000.5,0.16010896228554286,549.0,sen,Republican,Shelley M Capito,SE
