,Unnamed: 0,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region,sector
12,12,2020-04-14,SWKS,"$1,001 - $15,000",2020-07-09,8000.5,0.3870832097513371,86.0,sen,Democrat,Thomas R Carper,NE,Technology
13,13,2020-03-24,ABBV,"$1,001 - $15,000",2020-07-09,8000.5,0.4511780343970512,107.0,sen,Democrat,Thomas R Carper,NE,Healthcare
14,14,2020-04-02,APO,"$1,001 - $15,000",2020-07-09,8000.5,0.6112367656515142,98.0,sen,Democrat,Thomas R Carper,NE,Financial Services
15,15,2015-05-14,AAPL,"$1,001 - $15,000",2020-11-20,75000.5,2.639860383555912,2017.0,sen,Democrat,Thomas R Carper,NE,Technology
16,16,2020-04-02,TSN,"$1,001 - $15,000",2020-07-09,8000.5,0.0264081304687012,98.0,sen,Democrat,Thomas R Carper,NE,Consumer Defensive
17,17,2020-04-02,ARE,"$1,001 - $15,000",2020-08-21,8000.5,0.2992083734024613,141.0,sen,Democrat,Thomas R Carper,NE,Real Estate
18,18,2019-02-27,WW,"$1,001 - $15,000",2020-11-20,8000.5,0.4166236110056671,632.0,sen,Democrat,Thomas R Carper,NE,Consumer Cyclical
19,19,2015-05-14,AAPL,"$1,001 - $15,000",2020-11-20,75000.5,2.639860383555912,2017.0,sen,Democrat,Thomas R Carper,NE,Technology
20,20,2015-06-12,DD,"$1,001 - $15,000",2021-01-27,32500.5,0.0558087577917594,2056.0,sen,Democrat,Thomas R Carper,NE,Basic Materials
21,21,2015-02-20,HBI,"$1,001 - $15,000",2020-11-20,8000.5,-0.5525646192819378,2100.0,sen,Democrat,Thomas R Carper,NE,Consumer Cyclical
22,22,2015-06-12,DD,"$1,001 - $15,000",2021-01-27,32500.5,0.0558087577917594,2056.0,sen,Democrat,Thomas R Carper,NE,Basic Materials
23,23,2017-08-31,PBA,"$1,001 - $15,000",2020-12-30,8000.5,-0.2665218825501683,1217.0,sen,Democrat,Thomas R Carper,NE,Energy
24,24,2020-11-20,AJRD,"$1,001 - $15,000",2021-01-08,8000.5,0.4062333411849299,49.0,sen,Democrat,Thomas R Carper,NE,Industrials
25,25,2019-07-16,CAG,"$1,001 - $15,000",2021-01-11,8000.5,0.1762615206842271,545.0,sen,Democrat,Thomas R Carper,NE,Consumer Defensive
26,26,2020-11-20,DDOG,"$1,001 - $15,000",2021-01-11,8000.5,0.1701650497841778,52.0,sen,Democrat,Thomas R Carper,NE,Technology
27,27,2020-11-20,EVOP,"$1,001 - $15,000",2021-01-25,8000.5,-0.0439216015385646,66.0,sen,Democrat,Thomas R Carper,NE,Technology
28,28,2020-11-20,VIAV,"$1,001 - $15,000",2021-01-25,8000.5,0.1687363396947615,66.0,sen,Democrat,Thomas R Carper,NE,Technology
29,29,2015-06-12,DD,"$1,001 - $15,000",2021-01-27,32500.5,0.0558087577917594,2056.0,sen,Democrat,Thomas R Carper,NE,Basic Materials
30,30,2020-11-20,NUAN,"$1,001 - $15,000",2021-04-13,8000.5,0.2639728856536008,144.0,sen,Democrat,Thomas R Carper,NE,Technology
31,31,2020-11-20,ARE,"$1,001 - $15,000",2021-08-04,8000.5,0.2457048981419584,257.0,sen,Democrat,Thomas R Carper,NE,Real Estate
32,33,2016-04-19,SJM,"$1,001 - $15,000",2017-10-06,8000.5,-0.1952443538474696,535.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
33,34,2017-09-05,MRK,"$1,001 - $15,000",2018-01-04,8000.5,-0.1032694258836168,121.0,sen,Republican,Shelley M Capito,SE,Healthcare
34,35,2017-09-08,SGAPY,"$1,001 - $15,000",2017-12-19,8000.5,-0.0291757561938225,102.0,sen,Republican,Shelley M Capito,SE,Communication Services
35,36,2017-09-08,SSDOY,"$1,001 - $15,000",2017-12-19,8000.5,0.1294642420991805,102.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
36,37,2017-09-05,MSFT,"$1,001 - $15,000",2018-01-04,8000.5,0.1833989931811185,121.0,sen,Republican,Shelley M Capito,SE,Technology
37,38,2017-09-05,MRK,"$1,001 - $15,000",2018-01-04,8000.5,-0.1032694258836168,121.0,sen,Republican,Shelley M Capito,SE,Healthcare
38,39,2017-09-05,INTC,"$1,001 - $15,000",2018-01-04,32500.5,0.2687035900745108,121.0,sen,Republican,Shelley M Capito,SE,Technology
39,40,2017-09-05,XOM,"$1,001 - $15,000",2018-01-04,8000.5,0.1249028161639171,121.0,sen,Republican,Shelley M Capito,SE,Energy
40,41,2017-09-05,CSCO,"$1,001 - $15,000",2018-01-04,8000.5,0.2330803492607396,121.0,sen,Republican,Shelley M Capito,SE,Technology
41,42,2017-09-08,FANUY,"$1,001 - $15,000",2018-03-28,8000.5,0.2848360315345694,201.0,sen,Republican,Shelley M Capito,SE,Industrials
42,43,2017-09-08,HXL,"$1,001 - $15,000",2018-01-26,8000.5,0.268192106781762,140.0,sen,Republican,Shelley M Capito,SE,Industrials
43,44,2017-09-08,OXY,"$1,001 - $15,000",2018-02-27,8000.5,0.108067698209581,172.0,sen,Republican,Shelley M Capito,SE,Energy
44,45,2017-09-08,CERN,"$1,001 - $15,000",2018-02-27,8000.5,-0.0778658663301445,172.0,sen,Republican,Shelley M Capito,SE,Healthcare
45,46,2017-09-08,RHHBY,"$1,001 - $15,000",2018-02-28,8000.5,-0.0819307698462534,173.0,sen,Republican,Shelley M Capito,SE,Healthcare
46,47,2017-09-08,FANUY,"$1,001 - $15,000",2018-03-28,8000.5,0.2848360315345694,201.0,sen,Republican,Shelley M Capito,SE,Industrials
47,48,2017-09-08,CME,"$1,001 - $15,000",2018-04-24,32500.5,0.2621057058507162,228.0,sen,Republican,Shelley M Capito,SE,Financial Services
48,49,2016-06-24,BRK-B,"$1,001 - $15,000",2018-04-24,32500.5,0.4086321207815392,669.0,sen,Republican,Shelley M Capito,SE,Financial Services
49,50,2017-09-08,NSRGY,"$1,001 - $15,000",2018-04-24,8000.5,-0.1006695638590559,228.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
50,51,2017-09-08,RCL,"$1,001 - $15,000",2018-05-17,8000.5,-0.0859940292597194,251.0,sen,Republican,Shelley M Capito,SE,Consumer Cyclical
51,52,2017-09-08,BNPQY,"$1,001 - $15,000",2018-05-18,8000.5,-0.0417436745060294,252.0,sen,Republican,Shelley M Capito,SE,Financial Services
52,53,2017-12-19,ENB,"$1,001 - $15,000",2019-03-11,8000.5,-0.0602626845800571,447.0,sen,Republican,Shelley M Capito,SE,Energy
53,54,2018-04-24,QCOM,"$1,001 - $15,000",2018-11-29,8000.5,0.1635963597979172,219.0,sen,Republican,Shelley M Capito,SE,Technology
54,55,2017-09-08,INCY,"$1,001 - $15,000",2018-11-12,8000.5,-0.5144446365642102,430.0,sen,Republican,Shelley M Capito,SE,Healthcare
55,56,2018-04-24,QCOM,"$1,001 - $15,000",2018-11-29,8000.5,0.1635963597979172,219.0,sen,Republican,Shelley M Capito,SE,Technology
56,57,2018-04-24,GIS,"$1,001 - $15,000",2018-12-12,8000.5,-0.1309442798840958,232.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
57,58,2017-09-08,KYCCF,"$1,001 - $15,000",2019-03-11,8000.5,0.1253097527072659,549.0,sen,Republican,Shelley M Capito,SE,Technology
58,59,2017-09-08,LVS,"$1,001 - $15,000",2019-03-11,8000.5,-0.0470531916391649,549.0,sen,Republican,Shelley M Capito,SE,Consumer Cyclical
59,60,2018-04-24,MSFT,"$1,001 - $15,000",2019-03-11,8000.5,0.211662355059328,321.0,sen,Republican,Shelley M Capito,SE,Technology
60,61,2018-04-04,MDLZ,"$1,001 - $15,000",2019-03-11,8000.5,0.1200380145874314,341.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
61,62,2017-09-08,MRAAY,"$1,001 - $15,000",2019-03-11,8000.5,0.0315566817899033,549.0,sen,Republican,Shelley M Capito,SE,Technology
62,63,2017-09-08,MCO,"$1,001 - $15,000",2019-03-11,8000.5,0.2673807576701482,549.0,sen,Republican,Shelley M Capito,SE,Financial Services
63,64,2018-10-16,JPM,"$1,001 - $15,000",2019-03-11,8000.5,-0.0393113990470351,146.0,sen,Republican,Shelley M Capito,SE,Financial Services
64,65,2017-09-08,NVO,"$1,001 - $15,000",2019-03-11,8000.5,0.0368980698920592,549.0,sen,Republican,Shelley M Capito,SE,Healthcare
65,66,2017-09-08,RDS-B,"$1,001 - $15,000",2019-03-11,8000.5,0.0726679197520322,549.0,sen,Republican,Shelley M Capito,SE,Energy
66,67,2017-09-08,AVGO,"$1,001 - $15,000",2019-03-11,8000.5,0.1022080082170307,549.0,sen,Republican,Shelley M Capito,SE,Technology
67,68,2017-09-08,PDRDY,"$1,001 - $15,000",2019-03-11,8000.5,0.2603603053737331,549.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
68,69,2017-09-05,PM,"$1,001 - $15,000",2019-03-11,8000.5,-0.2416078928152719,552.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
69,70,2018-02-27,ICE,"$1,001 - $15,000",2019-03-11,8000.5,-0.0119841651880796,377.0,sen,Republican,Shelley M Capito,SE,Financial Services
70,71,2017-09-08,RBGLY,"$1,001 - $15,000",2019-03-11,8000.5,-0.143307068323934,549.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
71,72,2018-01-26,SLB,"$1,001 - $15,000",2019-03-11,8000.5,-0.4578018103321328,409.0,sen,Republican,Shelley M Capito,SE,Energy
72,73,2017-09-08,SFTBY,"$1,001 - $15,000",2019-03-11,8000.5,0.2271212763795715,549.0,sen,Republican,Shelley M Capito,SE,Communication Services
73,74,2017-09-08,TSM,"$1,001 - $15,000",2019-03-11,8000.5,0.0303999837239583,549.0,sen,Republican,Shelley M Capito,SE,Technology
74,75,2017-09-08,V,"$1,001 - $15,000",2019-03-11,8000.5,0.4427846186789466,549.0,sen,Republican,Shelley M Capito,SE,Financial Services
75,76,2017-09-08,LRLCY,"$1,001 - $15,000",2019-03-11,8000.5,0.1935258881941868,549.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
76,77,2018-01-26,INTC,"$1,001 - $15,000",2019-03-11,8000.5,0.0652954577377566,409.0,sen,Republican,Shelley M Capito,SE,Technology
77,78,2017-09-08,AHKSY,"$1,001 - $15,000",2019-03-11,8000.5,-0.0632911372030672,549.0,sen,Republican,Shelley M Capito,SE,Basic Materials
78,79,2017-09-12,HLT,"$1,001 - $15,000",2019-03-11,8000.5,0.2532163377358724,545.0,sen,Republican,Shelley M Capito,SE,Consumer Cyclical
79,80,2017-09-08,AMT,"$1,001 - $15,000",2019-03-11,8000.5,0.2770535667773268,549.0,sen,Republican,Shelley M Capito,SE,Real Estate
80,81,2016-03-22,AAPL,"$1,001 - $15,000",2019-03-11,8000.5,0.676349248970761,1084.0,sen,Republican,Shelley M Capito,SE,Technology
81,82,2017-09-08,AZN,"$1,001 - $15,000",2019-03-11,8000.5,0.3082170116808988,549.0,sen,Republican,Shelley M Capito,SE,Healthcare
82,83,2017-09-08,ASML,"$1,001 - $15,000",2019-03-11,8000.5,0.1337966125335684,549.0,sen,Republican,Shelley M Capito,SE,Technology
83,84,2017-09-08,CABGY,"$1,001 - $15,000",2019-03-11,8000.5,0.0568862263236473,549.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
84,85,2018-04-24,CVX,"$1,001 - $15,000",2019-03-11,8000.5,0.0088134635464805,321.0,sen,Republican,Shelley M Capito,SE,Energy
85,86,2017-09-08,CCI,"$1,001 - $15,000",2019-03-11,8000.5,0.1601089622855428,549.0,sen,Republican,Shelley M Capito,SE,Real Estate
86,87,2017-12-19,ENB,"$1,001 - $15,000",2019-03-11,8000.5,-0.0602626845800571,447.0,sen,Republican,Shelley M Capito,SE,Energy
87,88,2018-09-25,GILD,"$1,001 - $15,000",2019-03-11,8000.5,-0.1420189602515553,167.0,sen,Republican,Shelley M Capito,SE,Healthcare
88,89,2017-12-20,GDDY,"$1,001 - $15,000",2019-03-11,8000.5,0.4736109998911599,446.0,sen,Republican,Shelley M Capito,SE,Technology
89,90,2017-12-20,CSX,"$1,001 - $15,000",2019-03-11,8000.5,0.3165494564572531,446.0,sen,Republican,Shelley M Capito,SE,Industrials
90,91,2018-04-24,NSC,"$1,001 - $15,000",2019-06-10,8000.5,0.4922575523487139,412.0,sen,Republican,Shelley M Capito,SE,Industrials
91,92,2018-04-24,XOM,"$1,001 - $15,000",2020-12-31,8000.5,-0.4738991445632505,982.0,sen,Republican,Shelley M Capito,SE,Energy
92,93,2020-06-25,WFC,"$15,001 - $50,000",2020-12-15,32500.5,0.0862257446342493,173.0,sen,Republican,Shelley M Capito,SE,Financial Services
93,94,2018-04-24,SYY,"$1,001 - $15,000",2020-12-31,8000.5,0.1990957818552474,982.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
94,95,2018-04-24,XOM,"$1,001 - $15,000",2020-12-31,8000.5,-0.4738991445632505,982.0,sen,Republican,Shelley M Capito,SE,Energy
95,96,2018-04-24,CLX,"$1,001 - $15,000",2020-12-31,8000.5,0.7564370196330152,982.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
96,97,2018-04-24,PII,"$1,001 - $15,000",2020-12-31,8000.5,-0.1303395317406774,982.0,sen,Republican,Shelley M Capito,SE,Consumer Cyclical
97,98,2021-03-24,WFC,"$15,001 - $50,000",2021-05-10,8000.5,0.2224553982120757,47.0,sen,Republican,Shelley M Capito,SE,Financial Services
98,99,2021-03-24,WFC,"$15,001 - $50,000",2021-05-10,8000.5,0.2224553982120757,47.0,sen,Republican,Shelley M Capito,SE,Financial Services
99,100,2018-04-24,T,"$1,001 - $15,000",2021-05-25,8000.5,-0.1565714154924665,1127.0,sen,Republican,Shelley M Capito,SE,Communication Services
100,101,2020-03-03,MSFT,"$1,001 - $15,000",2021-07-26,8000.5,0.7570360309078836,510.0,sen,Republican,Shelley M Capito,SE,Technology
101,102,2017-11-28,SLB,"$1,001 - $15,000",2020-08-18,8000.5,-0.6826135789502693,994.0,sen,Independent,"Angus S King, Jr.",NE,Energy
102,103,2017-11-28,COP,"$1,001 - $15,000",2020-08-18,8000.5,-0.1954917021394949,994.0,sen,Independent,"Angus S King, Jr.",NE,Energy
103,104,2017-11-28,SLB,"$1,001 - $15,000",2020-08-18,8000.5,-0.6826135789502693,994.0,sen,Independent,"Angus S King, Jr.",NE,Energy
104,105,2018-12-06,WY,"$1,001 - $15,000",2018-12-19,8000.5,-0.132385902710525,13.0,sen,Republican,"Jerry Moran,",MW,Real Estate
105,106,2018-12-06,LM09.SG,"$1,001 - $15,000",2018-12-19,8000.5,0.0146781857029681,13.0,sen,Republican,"Jerry Moran,",MW,none
106,107,2018-12-06,GS,"$1,001 - $15,000",2018-12-19,8000.5,-0.0806127254772298,13.0,sen,Republican,"Jerry Moran,",MW,Financial Services
107,108,2018-12-06,GOOG,"$1,001 - $15,000",2018-12-19,8000.5,-0.0427797212941214,13.0,sen,Republican,"Jerry Moran,",MW,Communication Services
108,109,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW,Financial Services
109,110,2018-12-06,JPM,"$1,001 - $15,000",2020-08-21,8000.5,-0.0748170221876916,624.0,sen,Republican,"Jerry Moran,",MW,Financial Services
110,111,2018-12-06,XOM,"$1,001 - $15,000",2019-09-25,8000.5,-0.0898073857678456,293.0,sen,Republican,"Jerry Moran,",MW,Energy
111,112,2018-12-06,RDS-B,"$1,001 - $15,000",2020-08-21,8000.5,-0.5389172248363218,624.0,sen,Republican,"Jerry Moran,",MW,Energy
112,113,2018-12-19,GIS,"$1,001 - $15,000",2019-09-25,8000.5,0.4051880477566462,280.0,sen,Republican,"Jerry Moran,",MW,Consumer Defensive
113,114,2018-12-06,XOM,"$1,001 - $15,000",2019-09-25,8000.5,-0.0898073857678456,293.0,sen,Republican,"Jerry Moran,",MW,Energy
114,115,2018-12-19,CVS,"$1,001 - $15,000",2019-09-25,8000.5,-0.0874762575543134,280.0,sen,Republican,"Jerry Moran,",MW,Healthcare
115,116,2018-12-19,BAC,"$1,001 - $15,000",2019-09-25,8000.5,0.2096774040875001,280.0,sen,Republican,"Jerry Moran,",MW,Financial Services
116,117,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW,Consumer Defensive
117,118,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW,Technology
118,119,2018-12-06,MSFT,"$1,001 - $15,000",2019-09-25,8000.5,0.276307331205851,293.0,sen,Republican,"Jerry Moran,",MW,Technology
119,120,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW,Financial Services
120,121,2018-12-06,DIS,"$15,001 - $50,000",2020-08-21,8000.5,0.1146680696264152,624.0,sen,Republican,"Jerry Moran,",MW,Communication Services
121,122,2018-12-06,VZ,"$1,001 - $15,000",2019-09-25,8000.5,0.0377065867366763,293.0,sen,Republican,"Jerry Moran,",MW,Communication Services
122,123,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW,Consumer Defensive
123,124,2018-12-06,XOM,"$1,001 - $15,000",2019-09-25,8000.5,-0.0898073857678456,293.0,sen,Republican,"Jerry Moran,",MW,Energy
124,125,2018-12-06,VZ,"$1,001 - $15,000",2019-09-25,8000.5,0.0377065867366763,293.0,sen,Republican,"Jerry Moran,",MW,Communication Services
125,126,2018-12-06,USB,"$1,001 - $15,000",2019-09-25,8000.5,0.0649599066864121,293.0,sen,Republican,"Jerry Moran,",MW,Financial Services
126,127,2018-12-06,DIS,"$15,001 - $50,000",2020-08-21,8000.5,0.1146680696264152,624.0,sen,Republican,"Jerry Moran,",MW,Communication Services
127,128,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW,Financial Services
128,129,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW,Technology
129,130,2018-12-06,WFC,"$15,001 - $50,000",2020-08-21,8000.5,-0.5372871536691317,624.0,sen,Republican,"Jerry Moran,",MW,Financial Services
130,131,2018-12-06,DIS,"$15,001 - $50,000",2020-08-21,8000.5,0.1146680696264152,624.0,sen,Republican,"Jerry Moran,",MW,Communication Services
131,132,2019-09-25,TXN,"$1,001 - $15,000",2020-08-21,8000.5,0.0985596068407013,331.0,sen,Republican,"Jerry Moran,",MW,Technology
132,133,2018-12-06,JPM,"$1,001 - $15,000",2020-08-21,8000.5,-0.0748170221876916,624.0,sen,Republican,"Jerry Moran,",MW,Financial Services
133,134,2019-09-25,KO,"$1,001 - $15,000",2020-08-21,8000.5,-0.1271921658213817,331.0,sen,Republican,"Jerry Moran,",MW,Consumer Defensive
134,135,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW,Technology
135,136,2018-12-19,ALL,"$1,001 - $15,000",2020-08-21,8000.5,0.1668312416250251,611.0,sen,Republican,"Jerry Moran,",MW,Financial Services
136,137,2018-12-06,ABBV,"$1,001 - $15,000",2020-08-21,8000.5,0.0501494374789163,624.0,sen,Republican,"Jerry Moran,",MW,Healthcare
137,138,2018-12-06,RDS-B,"$1,001 - $15,000",2020-08-21,8000.5,-0.5389172248363218,624.0,sen,Republican,"Jerry Moran,",MW,Energy
138,139,2020-08-21,BRK-B,"$1,001 - $15,000",2020-08-21,8000.5,0.0,0.0,sen,Republican,"Jerry Moran,",MW,Financial Services
139,140,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW,Consumer Defensive
140,141,2019-09-25,MPC,"$1,001 - $15,000",2020-08-21,8000.5,-0.4114713112575994,331.0,sen,Republican,"Jerry Moran,",MW,Energy
141,142,2019-09-25,OXY,"$1,001 - $15,000",2020-08-21,8000.5,-0.7096845507207447,331.0,sen,Republican,"Jerry Moran,",MW,Energy
142,143,2018-12-19,AAPL,"$1,001 - $15,000",2020-08-21,8000.5,2.0920505492794206,611.0,sen,Republican,"Jerry Moran,",MW,Technology
143,144,2018-12-19,COST,"$1,001 - $15,000",2021-01-27,8000.5,0.7694752403973271,770.0,sen,Republican,"Jerry Moran,",MW,Consumer Defensive
144,145,2020-04-21,CRWD,"$15,001 - $50,000",2020-04-24,75000.5,0.0897532969966144,3.0,sen,Democrat,Ron L Wyden,W,Technology
145,146,2020-05-08,UBER,"$15,001 - $50,000",2020-05-11,32500.5,-0.0350717137471727,3.0,sen,Democrat,Ron L Wyden,W,Technology
146,147,2020-04-06,RDS-B,"$1,001 - $15,000",2020-06-04,8000.5,-0.051526188735971,59.0,sen,Democrat,Ron L Wyden,W,Energy
147,148,2020-06-05,TRIP,"$50,001 - $100,000",2020-07-07,75000.5,-0.2742251798306523,32.0,sen,Democrat,Ron L Wyden,W,Consumer Cyclical
148,149,2020-06-05,CAT,"$15,001 - $50,000",2020-07-13,75000.5,-0.0336736823371153,38.0,sen,Democrat,Ron L Wyden,W,Industrials
149,150,2020-06-17,INTC,"$15,001 - $50,000",2020-08-03,32500.5,-0.2015209473162511,47.0,sen,Democrat,Ron L Wyden,W,Technology
150,151,2020-05-27,VAC,"$15,001 - $50,000",2020-08-03,32500.5,-0.160770404105782,68.0,sen,Democrat,Ron L Wyden,W,Consumer Cyclical
151,152,2020-06-05,MAR,"$50,001 - $100,000",2020-08-03,175000.5,-0.2263801653266347,59.0,sen,Democrat,Ron L Wyden,W,Consumer Cyclical
152,153,2020-04-06,XOM,"$15,001 - $50,000",2020-08-21,32500.5,0.0133431451579456,137.0,sen,Democrat,Ron L Wyden,W,Energy
153,154,2020-04-17,T,"$15,001 - $50,000",2020-08-21,75000.5,-0.0493115283622074,126.0,sen,Democrat,Ron L Wyden,W,Communication Services
154,155,2020-08-19,KR,"$15,001 - $50,000",2020-08-24,75000.5,-0.0044174445615604,5.0,sen,Democrat,Ron L Wyden,W,Consumer Defensive
155,156,2020-08-05,CLX,"$1,001 - $15,000",2020-08-24,8000.5,-0.059158368032773,19.0,sen,Democrat,Ron L Wyden,W,Consumer Defensive
156,157,2020-08-24,AMWD,"$1,001 - $15,000",2020-08-27,8000.5,-0.0838763483154627,3.0,sen,Democrat,Ron L Wyden,W,Consumer Cyclical
157,158,2020-08-24,W,"$50,001 - $100,000",2020-09-02,75000.5,-0.1118047590086446,9.0,sen,Democrat,Ron L Wyden,W,Consumer Cyclical
158,159,2020-08-20,NFLX,"$1,001 - $15,000",2020-09-14,8000.5,-0.0434625113398945,25.0,sen,Democrat,Ron L Wyden,W,Communication Services
159,160,2020-08-05,BYND,"$15,001 - $50,000",2020-11-10,75000.5,-0.0578792687004971,97.0,sen,Democrat,Ron L Wyden,W,Consumer Defensive
160,161,2021-02-26,AMAT,"$1,001 - $15,000",2021-04-16,75000.5,0.1314831454871735,49.0,sen,Democrat,Ron L Wyden,W,Technology
161,162,2021-02-26,KLAC,"$1,001 - $15,000",2021-04-06,8000.5,0.1136458370614563,39.0,sen,Democrat,Ron L Wyden,W,Technology
162,163,2020-06-04,STZ,"$50,001 - $100,000",2021-04-06,175000.5,0.3446765424050294,306.0,sen,Democrat,Ron L Wyden,W,Consumer Defensive
163,164,2021-02-26,KLAC,"$1,001 - $15,000",2021-04-06,8000.5,0.1136458370614563,39.0,sen,Democrat,Ron L Wyden,W,Technology
164,165,2020-06-23,AVGO,"$15,001 - $50,000",2021-04-06,175000.5,0.5543527596891109,287.0,sen,Democrat,Ron L Wyden,W,Technology
165,166,2021-02-26,AMAT,"$1,001 - $15,000",2021-04-16,75000.5,0.1314831454871735,49.0,sen,Democrat,Ron L Wyden,W,Technology
166,167,2015-01-30,XLU,"$1,001 - $15,000",2015-02-27,8000.5,-0.0639486790584329,28.0,sen,Republican,Patrick J Toomey,NE,none
167,168,2014-12-31,CVX,"$15,001 - $50,000",2015-03-19,32500.5,-0.0662328426186764,78.0,sen,Republican,Patrick J Toomey,NE,Energy
168,169,2015-02-27,EEM,"$1,001 - $15,000",2015-12-30,8000.5,-0.207412872233771,306.0,sen,Republican,Patrick J Toomey,NE,none
169,170,2015-01-05,SHY,"$15,001 - $50,000",2016-05-02,32500.5,0.0046131935820313,483.0,sen,Republican,Patrick J Toomey,NE,none
170,171,2015-04-27,PG,"$15,001 - $50,000",2018-08-02,32500.5,0.0173697463074818,1193.0,sen,Republican,Patrick J Toomey,NE,Consumer Defensive
171,172,2015-04-27,PG,"$15,001 - $50,000",2018-08-02,32500.5,0.0173697463074818,1193.0,sen,Republican,Patrick J Toomey,NE,Consumer Defensive
172,173,2015-08-07,CVX,"$1,001 - $15,000",2016-08-03,32500.5,0.2013134401236007,362.0,sen,Republican,Patrick J Toomey,NE,Energy
173,174,2015-06-04,VZ,"$1,001 - $15,000",2017-01-27,32500.5,0.0311850321743156,603.0,sen,Republican,Patrick J Toomey,NE,Communication Services
174,175,2015-06-04,VZ,"$1,001 - $15,000",2017-01-27,32500.5,0.0311850321743156,603.0,sen,Republican,Patrick J Toomey,NE,Communication Services
175,176,2017-02-13,GE,"$1,001 - $15,000",2017-05-18,8000.5,-0.0852197032763846,94.0,sen,Republican,Patrick J Toomey,NE,Industrials
176,177,2017-01-25,T,"$15,001 - $50,000",2017-08-07,32500.5,-0.0693403956077986,194.0,sen,Republican,Patrick J Toomey,NE,Communication Services
