,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
4251,2018-01-04,Spouse,INTC,Sale (Full),"$15,001 - $50,000",--,Shelley M Capito,2018,1,4,15001,50000
4252,2018-01-04,Spouse,XOM,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4253,2018-01-04,Spouse,KO,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4254,2018-01-04,Spouse,C,Sale (Full),"$15,001 - $50,000",--,Shelley M Capito,2018,1,4,15001,50000
4255,2018-01-04,Spouse,CSCO,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4256,2018-01-04,Spouse,BMY,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,4,1001,15000
4257,2018-01-26,Spouse,SLB,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2018,1,26,1001,15000
4258,2018-01-26,Spouse,RYAAY,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2018,1,26,1001,15000
4259,2018-01-26,Spouse,INTC,Purchase,"$1,001 - $15,000",--,Shelley M Capito,2018,1,26,1001,15000
4260,2018-01-26,Spouse,HXL,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2018,1,26,1001,15000
4261,2018-01-26,Spouse,FANUY,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2018,1,26,1001,15000
4262,2018-01-26,Spouse,DWDP,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,2018,1,26,1001,15000
4264,2018-01-31,Spouse,TSCO,Sale (Full),"$15,001 - $50,000",--,Susan M Collins,2018,1,31,15001,50000
4265,2018-01-31,Spouse,RHT,Sale (Partial),"$15,001 - $50,000",--,Susan M Collins,2018,1,31,15001,50000
4266,2018-01-31,Spouse,AYI,Sale (Full),"$15,001 - $50,000",--,Susan M Collins,2018,1,31,15001,50000
4267,2018-01-05,Self,PFS,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,5,1001,15000
4268,2018-01-08,Self,REVB,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,8,1001,15000
4269,2018-01-08,Self,PFS,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,8,1001,15000
4270,2018-01-30,Self,REVB,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,30,1001,15000
4271,2018-01-30,Self,REVB,Sale (Full),"$1,001 - $15,000",--,Patrick J Toomey,2018,1,30,1001,15000
4272,2018-01-05,Self,BAC,Sale (Full),"$15,001 - $50,000",--,Patrick J Toomey,2018,1,5,15001,50000
4307,2018-01-31,Joint,SUN,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,31,1001,15000
4308,2018-01-31,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,31,1001,15000
4309,2018-01-31,Joint,GLW,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,31,1001,15000
4310,2018-01-30,Joint,ENB,Sale (Full),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,30,1001,15000
4311,2018-01-30,Joint,ENB,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",2018,1,30,15001,50000
4312,2018-01-30,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,30,1001,15000
4313,2018-01-29,Joint,FOXA,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,29,1001,15000
4314,2018-01-29,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,29,1001,15000
4315,2018-01-29,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,29,1001,15000
4316,2018-01-29,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,29,1001,15000
4317,2018-01-26,Joint,USG,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,26,1001,15000
4318,2018-01-24,Joint,FOXA,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,24,1001,15000
4319,2018-01-24,Joint,PG,Purchase,"$50,001 - $100,000",--,"David A Perdue , Jr",2018,1,24,50001,100000
4320,2018-01-24,Joint,JNJ,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,24,1001,15000
4321,2018-01-24,Joint,DVN,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,24,1001,15000
4322,2018-01-23,Joint,URBN,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,23,1001,15000
4323,2018-01-22,Joint,CBS,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,22,1001,15000
4324,2018-01-19,Joint,CBS,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",2018,1,19,1001,15000
