,last_name,first_name,middle_name,gender,type,party,state,district,senate_class,name
6674,Hackney,Thomas,,M,rep,Democrat,MO,15.0,,Thomas Hackney
6675,Haggott,Warren,Armstrong,M,rep,Republican,CO,2.0,,Warren Armstrong Haggott
6676,Hale,Nathan,Wesley,M,rep,Republican,TN,2.0,,Nathan Wesley Hale
6677,Hall,Philo,,M,rep,Republican,SD,-1.0,,Philo Hall
6678,Hamilton,Daniel,Webster,M,rep,Democrat,IA,6.0,,Daniel Webster Hamilton
6679,Harding,John,Eugene,M,rep,Republican,OH,3.0,,John Eugene Harding
6680,Haskins,Kittredge,,M,rep,Republican,VT,2.0,,Kittredge Haskins
6681,Hepburn,William,Peters,M,rep,Republican,IA,8.0,,William Peters Hepburn
6682,Hill,Wilson,Shedric,M,rep,Democrat,MS,4.0,,Wilson Shedric Hill
6683,Holliday,Elias,Selah,M,rep,Republican,IN,5.0,,Elias Selah Holliday
6684,Jackson,William,Humphreys,M,rep,Republican,MD,1.0,,William Humphreys Jackson
6685,James,Addison,Davis,M,rep,Republican,KY,3.0,,Addison Davis James
6686,Jenkins,John,James,M,rep,Republican,WI,11.0,,John James Jenkins
6687,Kimball,William,Preston,M,rep,Democrat,KY,7.0,,William Preston Kimball
6688,Kitchin,William,Walton,M,rep,Democrat,NC,5.0,,William Walton Kitchin
6689,Knopf,Philip,,M,rep,Republican,IL,7.0,,Philip Knopf
6690,Lamar,James,Robert,M,rep,Democrat,MO,16.0,,James Robert Lamar
6691,Lamar,William,Bailey,M,rep,Democrat,FL,3.0,,William Bailey Lamar
6692,Landis,Charles,Beary,M,rep,Republican,IN,9.0,,Charles Beary Landis
6693,Laning,Jay,Ford,M,rep,Republican,OH,14.0,,Jay Ford Laning
6694,Leake,Eugene,Walter,M,rep,Democrat,NJ,9.0,,Eugene Walter Leake
6695,Lenahan,John,Thomas,M,rep,Democrat,PA,11.0,,John Thomas Lenahan
6696,Lewis,Elijah,Banks,M,rep,Democrat,GA,3.0,,Elijah Banks Lewis
6697,Lilley,George,Leavens,M,rep,Republican,CT,-1.0,,George Leavens Lilley
6698,Littlefield,Charles,Edgar,M,rep,Republican,ME,2.0,,Charles Edgar Littlefield
6699,Marshall,Thomas,Frank,M,rep,Republican,ND,-1.0,,Thomas Frank Marshall
6700,McGavin,Charles,,M,rep,Republican,IL,8.0,,Charles McGavin
6701,McLain,Frank,Alexander,M,rep,Democrat,MS,7.0,,Frank Alexander McLain
6703,McMillan,Samuel,,M,rep,Republican,NY,21.0,,Samuel McMillan
6704,Meyer,Adolph,,M,rep,Democrat,LA,1.0,,Adolph Meyer
6705,Mouser,Grant,Earl,M,rep,Republican,OH,13.0,,Grant Earl Mouser
6706,Murphy,James,William,M,rep,Democrat,WI,3.0,,James William Murphy
6707,Overstreet,Jesse,,M,rep,Republican,IN,7.0,,Jesse Overstreet
6708,Parker,William,Henry,M,rep,Republican,SD,-1.0,,William Henry Parker
6710,Pollard,Ernest,Mark,M,rep,Republican,NE,1.0,,Ernest Mark Pollard
6711,Porter,Peter,Augustus,M,rep,Ind. Republican,NY,34.0,,Peter Augustus Porter
6712,Powers,Llewellyn,,M,rep,Republican,ME,4.0,,Llewellyn Powers
6713,Pratt,Le,Gage,M,rep,Democrat,NJ,8.0,,Le Gage Pratt
6714,Reyburn,John,Edgar,M,rep,Republican,PA,2.0,,John Edgar Reyburn
6716,Rixey,John,Franklin,M,rep,Democrat,VA,-1.0,,John Franklin Rixey
6717,Ryan,William,Henry,M,rep,Democrat,NY,35.0,,William Henry Ryan
6718,Sherman,James,Schoolcraft,M,rep,Republican,NY,27.0,,James Schoolcraft Sherman
6719,Slemp,Campbell,,M,rep,Republican,VA,9.0,,Campbell Slemp
6720,Smith,George,Washington,M,rep,Republican,IL,25.0,,George Washington Smith
6721,Smith,Madison,Roswell,M,rep,Democrat,MO,13.0,,Madison Roswell Smith
6723,Waldo,George,Ernest,M,rep,Republican,NY,5.0,,George Ernest Waldo
6724,Weems,Capell,Lane,M,rep,Republican,OH,16.0,,Capell Lane Weems
6725,Wiley,Ariosto,Appling,M,rep,Democrat,AL,2.0,,Ariosto Appling Wiley
6726,Wiley,Oliver,Cicero,M,rep,Democrat,AL,2.0,,Oliver Cicero Wiley
6727,Wolf,Harry,Benjamin,M,rep,Democrat,MD,3.0,,Harry Benjamin Wolf
6732,Alexander,De,Alva Stanwood,M,rep,Republican,NY,36.0,,De Alva Stanwood Alexander
6733,Allen,Amos,Lawrence,M,rep,Republican,ME,1.0,,Amos Lawrence Allen
6734,Barclay,Charles,Frederick,M,rep,Republican,PA,21.0,,Charles Frederick Barclay
6735,Barnard,William,Oscar,M,rep,Republican,IN,6.0,,William Oscar Barnard
6736,Bartlett,George,Arthur,M,rep,Democrat,NV,0.0,,George Arthur Bartlett
6737,Bennett,Joseph,Bentley,M,rep,Republican,KY,9.0,,Joseph Bentley Bennett
6738,Boutell,Henry,Sherman,M,rep,Republican,IL,9.0,,Henry Sherman Boutell
6739,Bowers,Eaton,Jackson,M,rep,Democrat,MS,6.0,,Eaton Jackson Bowers
6742,Brownlow,Walter,Preston,M,rep,Republican,TN,1.0,,Walter Preston Brownlow
6743,Byrd,Adam,Monroe,M,rep,Democrat,MS,5.0,,Adam Monroe Byrd
6744,Calderhead,William,Alexander,M,rep,Republican,KS,5.0,,William Alexander Calderhead
6745,Capron,Adin,Ballou,M,rep,Republican,RI,2.0,,Adin Ballou Capron
6746,Cassidy,James,Henry,M,rep,Republican,OH,21.0,,James Henry Cassidy
6747,Chapman,Pleasant,Thomas,M,rep,Republican,IL,24.0,,Pleasant Thomas Chapman
6749,Cocks,William,Willets,M,rep,Republican,NY,1.0,,William Willets Cocks
6750,Cole,Ralph,Dayton,M,rep,Republican,OH,8.0,,Ralph Dayton Cole
6751,Cook,Joel,,M,rep,Republican,PA,2.0,,Joel Cook
